Município;Dose;Total Doses Aplicadas
BURI;ADICIONAL;11995
BURI;2° DOSE;17535
BURI;1° DOSE;18499
BURITAMA;UNICA;451
BURITAMA;ADICIONAL;13400
BURITAMA;2° DOSE;14927
BURITAMA;1° DOSE;15521
BURITIZAL;UNICA;100
BURITIZAL;ADICIONAL;3031
BURITIZAL;2° DOSE;3554
BURITIZAL;1° DOSE;3833
CABRÁLIA PAULISTA;UNICA;104
CABRÁLIA PAULISTA;ADICIONAL;2954
CABRÁLIA PAULISTA;2° DOSE;3850
CABRÁLIA PAULISTA;1° DOSE;3966
CABREÚVA;UNICA;1494
CABREÚVA;ADICIONAL;26223
CABREÚVA;2° DOSE;43202
CABREÚVA;1° DOSE;46191
CAÇAPAVA;UNICA;2492
CAÇAPAVA;ADICIONAL;60985
CAÇAPAVA;2° DOSE;79475
CAÇAPAVA;1° DOSE;85338
CACHOEIRA PAULISTA;UNICA;983
CACHOEIRA PAULISTA;ADICIONAL;18203
CACHOEIRA PAULISTA;2° DOSE;25295
CACHOEIRA PAULISTA;1° DOSE;27228
CACONDE;UNICA;410
CACONDE;ADICIONAL;11504
CACONDE;2° DOSE;15476
CACONDE;1° DOSE;16736
CAFELÂNDIA;UNICA;429
CAFELÂNDIA;ADICIONAL;11761
CAFELÂNDIA;2° DOSE;14178
CAFELÂNDIA;1° DOSE;15146
CAIABU;UNICA;60
CAIABU;ADICIONAL;2528
CAIABU;2° DOSE;3324
CAIABU;1° DOSE;3485
